Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%▼,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
117,Spencer Dinwiddie,31,DAL,PG,54,19,1366,13.2,0.567,0.499,0.357,0.9,9.1,5.1,19.6,1.7,0.7,11.2,17.6,1.9,0.9,2.9,0.101,-0.6,-0.3,-0.9,0.4,
118,James Harden,35,LAC,PG,51,51,1749,18.7,0.567,0.515,0.435,2,16.8,9.4,37.8,2.1,1.8,19.1,29.5,1.6,2.8,4.4,0.121,2.5,0.8,3.3,2.3,
119,Tari Eason,23,HOU,PF,36,4,870,19.3,0.566,0.318,0.222,9.4,18.7,13.9,7.3,3.9,3.3,8.3,18.8,1.4,2,3.4,0.188,1.3,3.1,4.4,1.4,
120,Scotty Pippen Jr.,24,MEM,PG,54,16,1118,15,0.564,0.369,0.294,4,12.7,8.4,27.6,2.6,1.6,17.6,19.6,1.4,1.6,3,0.128,-0.6,1.6,1,0.8,
121,Julian Strawther,22,DEN,SG,55,4,1242,9.8,0.564,0.556,0.172,1.5,9.2,5.6,7.5,1.4,1.1,9.5,17.6,0.6,0.8,1.4,0.054,-2.8,-1.4,-4.2,-0.7,
122,Jrue Holiday,34,BOS,PG,44,44,1330,13,0.564,0.56,0.149,4,11.7,7.9,16.8,1.6,1.3,12.1,16,1.7,1.7,3.3,0.12,-0.5,0.7,0.2,0.8,
123,CJ McCollum,33,NOP,PG,41,41,1373,16.7,0.562,0.447,0.186,2.2,10.1,6,19,1.1,1.5,8.2,27.5,1.4,0,1.4,0.05,1.8,-2.8,-0.9,0.3,
124,Trae Young,26,ATL,PG,51,51,1847,17.5,0.561,0.486,0.397,1.4,8.2,4.7,46.9,1.6,0.5,18.7,29.3,2.2,1,3.2,0.084,2.5,-2.6,-0.1,0.9,
125,Andrew Wiggins,29,2TM,SF,45,45,1361,16.2,0.561,0.426,0.307,5.3,11,8,12.3,1.5,2.4,7.8,23.3,1.8,1.4,3.1,0.111,1.4,-0.5,0.9,1,
126,Jalen Williams,23,OKC,SG,51,51,1662,19.7,0.56,0.286,0.231,2.9,14.9,8.9,23.4,2.6,2.2,10.7,27.3,2.2,3.5,5.7,0.164,2.1,1.8,3.9,2.5,
127,Anfernee Simons,25,POR,SG,51,51,1654,14.9,0.56,0.526,0.174,1,8.2,4.6,24.4,1.2,0.3,11.2,24.3,2.1,0.5,2.6,0.075,1.6,-1.9,-0.3,0.7,
